Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2011 Roland Garros R64,W vs Hanescu,27,13,2.1,21.1%,10.2%,25,13,1.9,20.3%,10.6%,13.0%,7.3%,1.3,14.1%,10.9%
2011 Roland Garros R128,W vs De Bakker,25,19,1.3,18.0%,13.7%,25,17,1.5,19.4%,13.2%,12.4%,7.0%,0.6,13.7%,24.5%
2011 Rome Masters F,W vs Nadal,24,29,0.8,18.5%,22.3%,24,28,0.9,19.0%,22.2%,13.5%,5.6%,0.9,10.0%,11.5%
2011 Rome Masters SF,W vs Murray,35,37,0.9,18.0%,19.1%,31,35,0.9,17.4%,19.7%,10.7%,6.7%,0.8,17.0%,20.1%
2011 Madrid Masters F,W vs Nadal,26,26,1.0,19.5%,19.5%,23,25,0.9,18.3%,19.8%,8.7%,9.5%,0.8,12.8%,16.5%
2011 Madrid Masters SF,W vs Bellucci,14,33,0.4,9.0%,21.3%,8,32,0.3,5.6%,22.5%,4.2%,1.4%,0.6,13.5%,21.9%
2011 Madrid Masters R32,W vs Anderson,22,14,1.6,19.5%,12.4%,20,12,1.7,19.6%,11.8%,15.7%,3.9%,0.6,12.4%,19.5%
2011 Belgrade F,W vs Lopez,15,29,0.5,10.5%,20.3%,11,23,0.5,8.8%,18.4%,4.8%,4.0%,0.4,11.9%,32.2%
2011 Miami Masters F,W vs Nadal,39,40,1.0,19.0%,19.5%,36,40,0.9,18.8%,20.9%,11.5%,7.3%,0.8,11.7%,15.1%
2011 Miami Masters SF,W vs Fish,15,13,1.2,14.2%,12.3%,10,13,0.8,10.4%,13.5%,5.2%,4.2%,0.6,13.2%,20.8%
2011 Indian Wells Masters F,W vs Nadal,24,28,0.9,15.4%,17.9%,20,24,0.8,13.7%,16.4%,10.3%,3.4%,0.6,10.9%,17.9%
2011 Indian Wells Masters SF,W vs Federer,16,29,0.6,9.4%,17.1%,13,25,0.5,8.1%,15.6%,5.0%,3.1%,0.6,12.9%,21.8%
2011 Indian Wells Masters QF,W vs Gasquet,28,28,1.0,22.2%,22.2%,26,27,1.0,21.8%,22.7%,16.8%,5.0%,0.7,11.1%,16.7%
2011 Dubai F,W vs Federer,9,10,0.9,8.4%,9.3%,4,10,0.4,4.2%,10.4%,3.1%,1.0%,0.6,15.9%,25.2%
2011 Australian Open F,W vs Murray,26,33,0.8,14.1%,17.9%,20,33,0.6,11.9%,19.6%,,,0.4,11.4%,25.5%
2011 Australian Open SF,W vs Federer,29,35,0.8,12.6%,15.2%,23,30,0.8,10.7%,14.0%,,,0.8,15.2%,19.1%
2011 Australian Open QF,W vs Berdych,34,21,1.6,18.2%,11.2%,24,20,1.2,14.5%,12.0%,,,0.9,15.5%,17.1%
2011 Australian Open R16,W vs Almagro,31,17,1.8,20.3%,11.1%,19,13,1.5,14.6%,10.0%,,,0.4,9.8%,22.9%
2011 Australian Open R32,W vs Troicki,11,8,1.4,18.3%,13.3%,10,8,1.3,17.9%,14.3%,,,0.4,11.7%,28.3%
2011 Australian Open R64,W vs Dodig,49,50,1.0,18.4%,18.7%,40,47,0.9,16.6%,19.5%,,,0.6,8.6%,14.6%
2011 Australian Open R128,W vs Granollers,34,17,2.0,26.0%,13.0%,27,16,1.7,23.1%,13.7%,,,0.6,11.5%,19.8%
2010 Tour Finals SF,L vs Federer,14,19,0.7,12.5%,17.0%,12,16,0.8,11.9%,15.8%,9.9%,2.0%,2.1,25.9%,12.5%
2010 Tour Finals RR,W vs Roddick,17,14,1.2,18.3%,15.1%,12,14,0.9,14.3%,16.7%,13.1%,1.2%,0.4,6.5%,17.2%
2010 Tour Finals RR,W vs Berdych,18,19,0.9,16.7%,17.6%,13,18,0.7,14.0%,19.4%,6.5%,7.5%,0.6,13.9%,24.1%
2010 Tour Finals RR,L vs Nadal,14,30,0.5,11.4%,24.4%,7,29,0.2,6.4%,26.4%,3.6%,2.7%,0.9,13.0%,14.6%
2010 Basel F,L vs Federer,16,37,0.4,9.6%,22.3%,12,35,0.3,7.9%,23.2%,5.3%,2.6%,0.7,12.7%,19.3%
2010 Shanghai Masters SF,L vs Federer,20,30,0.7,13.5%,20.3%,16,26,0.6,12.3%,20.0%,6.9%,5.4%,1.5,19.6%,13.5%
2010 Beijing F,W vs Ferrer,11,12,0.9,10.3%,11.2%,9,11,0.8,8.8%,10.8%,2.0%,6.9%,0.2,7.5%,33.6%
2010 US Open F,L vs Nadal,40,53,0.8,15.7%,20.8%,35,49,0.7,14.8%,20.8%,10.6%,4.2%,1.2,16.1%,13.3%
2010 US Open SF,W vs Federer,30,41,0.7,9.6%,13.2%,26,38,0.7,9.0%,13.2%,4.5%,4.5%,0.6,12.5%,22.2%
2010 US Open QF,W vs Monfils,32,41,0.8,15.3%,19.6%,31,37,0.8,15.9%,19.0%,10.8%,5.1%,0.4,6.7%,15.8%
2010 US Open R32,W vs Blake,13,10,1.3,7.8%,6.0%,9,9,1.0,5.8%,5.8%,3.2%,2.6%,0.7,13.8%,18.6%
2010 Cincinnati Masters QF,L vs Roddick,26,29,0.9,21.5%,24.0%,21,27,0.8,20.8%,26.7%,10.9%,9.9%,1.2,12.4%,10.7%
2010 Canada Masters SF,L vs Federer,27,44,0.6,12.7%,20.7%,25,41,0.6,12.8%,21.0%,9.7%,3.1%,0.8,12.7%,15.5%
2010 Wimbledon SF,L vs Berdych,25,33,0.8,13.3%,17.6%,16,25,0.6,10.1%,15.8%,5.7%,4.4%,1.0,16.5%,16.0%
2010 Wimbledon R128,W vs Rochus,74,68,1.1,23.6%,21.7%,57,56,1.0,20.4%,20.1%,11.1%,9.0%,0.7,9.9%,13.7%
2010 Monte Carlo Masters SF,L vs Verdasco,6,39,0.2,5.4%,35.1%,6,34,0.2,5.9%,33.7%,5.0%,1.0%,0.6,9.9%,17.1%
2010 Dubai F,W vs Youzhny,25,54,0.5,11.6%,25.1%,20,42,0.5,10.3%,21.5%,8.2%,2.1%,0.3,8.8%,26.5%
2010 Australian Open QF,L vs Tsonga,39,56,0.7,12.5%,17.9%,37,47,0.8,13.2%,16.7%,8.5%,4.6%,0.9,16.9%,18.8%
2009 Tour Finals RR,W vs Davydenko,23,39,0.6,11.5%,19.5%,21,35,0.6,11.5%,19.1%,6.6%,4.4%,0.9,15.0%,17.0%
2009 Tour Finals RR,W vs Nadal,21,36,0.6,14.6%,25.0%,19,33,0.6,14.2%,24.6%,8.2%,6.0%,0.3,6.9%,23.6%
2009 Tour Finals RR,L vs Soderling,16,27,0.6,12.3%,20.8%,14,26,0.5,12.0%,22.2%,3.4%,3.4%,1.5,26.2%,17.7%
2009 Paris Masters F,W vs Monfils,28,42,0.7,13.7%,20.6%,26,37,0.7,14.6%,20.8%,11.8%,2.8%,0.7,11.3%,16.7%
2009 Paris Masters SF,W vs Nadal,29,14,2.1,33.0%,15.9%,25,10,2.5,33.8%,13.5%,24.3%,9.5%,1.5,13.6%,9.1%
2009 Basel F,W vs Federer,25,34,0.7,14.9%,20.2%,20,27,0.7,13.5%,18.2%,8.1%,5.4%,0.5,11.3%,23.2%
2009 Shanghai Masters SF,L vs Davydenko,26,35,0.7,11.9%,16.0%,21,33,0.6,10.2%,16.0%,5.8%,4.4%,0.7,16.9%,23.7%
2009 Beijing F,W vs Cilic,20,19,1.1,14.5%,13.8%,18,18,1.0,13.5%,13.5%,9.0%,4.5%,0.6,14.5%,23.9%
2009 US Open SF,L vs Federer,29,36,0.8,12.9%,16.1%,23,32,0.7,11.3%,15.8%,6.9%,3.9%,1.6,22.3%,13.8%
2009 Cincinnati Masters F,L vs Federer,16,26,0.6,11.3%,18.4%,13,25,0.5,10.0%,19.2%,6.9%,3.1%,1.2,19.1%,16.3%
2009 Cincinnati Masters SF,W vs Nadal,19,27,0.7,17.1%,24.3%,14,26,0.5,13.9%,25.7%,9.9%,4.0%,0.4,9.0%,20.7%
2009 Wimbledon QF,L vs Haas,45,39,1.2,18.3%,15.9%,31,35,0.9,15.2%,17.2%,8.3%,6.9%,0.9,17.1%,18.7%
2009 Halle F,L vs Haas,23,18,1.3,12.6%,9.8%,19,15,1.3,11.9%,9.4%,3.8%,6.3%,1.0,20.2%,19.7%
2009 Madrid Masters SF,L vs Nadal,36,44,0.8,14.7%,18.0%,30,41,0.7,13.0%,17.8%,7.0%,4.8%,0.6,12.7%,20.8%
2009 Belgrade F,W vs Kubot,21,17,1.2,16.2%,13.1%,14,15,0.9,11.9%,12.7%,6.8%,5.1%,0.6,12.3%,20.8%
2009 Rome Masters F,L vs Nadal,22,37,0.6,16.2%,27.2%,22,35,0.6,16.5%,26.3%,8.3%,8.3%,1.0,14.0%,14.0%
2009 Rome Masters SF,W vs Federer,30,36,0.8,16.6%,19.9%,27,30,0.9,16.6%,18.4%,13.5%,3.1%,0.7,14.4%,22.1%
2009 Rome Masters QF,W vs del Potro,22,26,0.8,18.5%,21.8%,19,23,0.8,17.6%,21.3%,9.3%,4.6%,0.4,10.1%,24.4%
2009 Monte Carlo Masters F,L vs Nadal,27,52,0.5,15.5%,29.9%,23,49,0.5,14.0%,29.9%,11.0%,3.0%,0.9,14.4%,15.5%
2009 Monte Carlo Masters SF,W vs Wawrinka,15,27,0.6,8.4%,15.2%,14,23,0.6,8.3%,13.6%,3.6%,4.7%,0.4,12.9%,32.0%
2009 Miami Masters F,L vs Murray,15,38,0.4,11.2%,28.4%,13,33,0.4,10.9%,27.7%,5.9%,5.0%,1.2,17.2%,14.2%
2009 Miami Masters SF,W vs Federer,17,29,0.6,11.1%,19.0%,13,25,0.5,9.5%,18.2%,8.0%,1.5%,0.4,12.4%,28.8%
2009 Davis Cup RR,L vs Ferrer,34,60,0.6,15.0%,26.5%,31,54,0.6,14.7%,25.6%,9.0%,4.7%,0.9,12.8%,14.6%
2009 Davis Cup RR,L vs Nadal,18,44,0.4,10.7%,26.0%,16,40,0.4,10.2%,25.5%,5.1%,5.1%,1.0,16.6%,16.0%
2009 Dubai F,W vs Ferrer,22,28,0.8,18.0%,23.0%,19,28,0.7,17.0%,25.0%,14.3%,2.7%,0.5,10.7%,21.3%
2009 Australian Open QF,L vs Roddick,42,40,1.1,20.8%,19.8%,33,35,0.9,19.8%,21.0%,13.8%,6.0%,2.3,19.3%,8.4%
2008 Masters Cup F,W vs Davydenko,20,16,1.3,16.8%,13.4%,17,13,1.3,15.7%,12.0%,10.2%,5.6%,0.6,10.9%,19.3%
2008 Masters Cup SF,W vs Simon,34,56,0.6,15.8%,26.0%,26,55,0.5,13.2%,27.9%,9.1%,4.1%,0.8,11.2%,14.9%
2008 Bangkok F,L vs Tsonga,14,23,0.6,11.4%,18.7%,11,22,0.5,9.9%,19.8%,8.1%,1.8%,0.9,19.5%,21.1%
2008 US Open SF,L vs Federer,38,50,0.8,15.3%,20.1%,32,45,0.7,14.7%,20.7%,9.2%,4.1%,2.1,20.5%,9.6%
2008 Beijing Olympics BR,W vs Blake,17,20,0.9,13.8%,16.3%,10,19,0.5,9.1%,17.3%,5.5%,3.6%,0.5,11.4%,22.0%
2008 Beijing Olympics SF,L vs Nadal,28,37,0.8,17.5%,23.1%,19,32,0.6,13.4%,22.5%,5.6%,7.7%,0.6,10.0%,16.3%
2008 Beijing Olympics QF,W vs Monfils,23,45,0.5,12.6%,24.6%,18,44,0.4,10.8%,26.3%,8.4%,2.4%,0.6,9.3%,15.3%
2008 Cincinnati Masters F,L vs Murray,31,48,0.6,16.8%,26.1%,25,42,0.6,14.8%,24.9%,8.9%,5.9%,0.4,7.6%,17.9%
2008 Cincinnati Masters SF,W vs Nadal,18,16,1.1,17.6%,15.7%,14,16,0.9,14.7%,16.8%,11.6%,3.2%,0.9,9.8%,10.8%
2008 Canada Masters QF,L vs Murray,22,33,0.7,16.1%,24.1%,19,31,0.6,14.6%,23.8%,10.0%,3.1%,0.7,10.2%,14.6%
2008 Wimbledon R64,L vs Safin,13,48,0.3,6.8%,25.0%,8,38,0.2,4.8%,22.8%,3.6%,1.2%,0.6,11.5%,20.3%
2008 Queen's Club F,L vs Nadal,28,32,0.9,16.3%,18.6%,24,32,0.8,14.5%,19.4%,10.9%,3.6%,1.2,16.3%,13.4%
2008 Roland Garros SF,L vs Nadal,34,37,0.9,17.2%,18.7%,32,36,0.9,16.4%,18.5%,9.7%,6.7%,1.3,12.1%,9.1%
2008 Hamburg Masters SF,L vs Nadal,29,43,0.7,14.3%,21.2%,29,43,0.7,14.6%,21.7%,10.6%,4.0%,1.4,15.3%,10.8%
2008 Rome Masters F,W vs Wawrinka,23,29,0.8,14.6%,18.4%,23,28,0.8,15.0%,18.3%,10.5%,4.6%,0.5,10.1%,20.3%
2008 Rome Masters SF,W vs Stepanek,7,3,2.3,20.0%,8.6%,5,3,1.7,16.1%,9.7%,12.9%,3.2%,0.0,0.0%,31.4%
2008 Monte Carlo Masters SF,L vs Federer,20,25,0.8,19.2%,24.0%,18,22,0.8,18.4%,22.4%,17.3%,1.0%,1.8,20.2%,11.5%
2008 Monte Carlo Masters R16,W vs Murray,23,19,1.2,21.9%,18.1%,23,19,1.2,23.7%,19.6%,14.4%,9.3%,0.5,11.4%,22.9%
2008 Indian Wells Masters F,W vs Fish,28,26,1.1,16.4%,15.2%,18,25,0.7,12.0%,16.7%,6.7%,4.7%,0.6,15.2%,24.0%
2008 Indian Wells Masters SF,W vs Nadal,20,17,1.2,19.8%,16.8%,12,17,0.7,13.5%,19.1%,6.7%,6.7%,0.3,7.9%,22.8%
2008 Dubai QF,W vs Andreev,16,11,1.5,19.5%,13.4%,15,10,1.5,19.2%,12.8%,14.1%,5.1%,0.3,4.9%,19.5%
2008 Australian Open F,W vs Tsonga,45,42,1.1,17.4%,16.3%,34,40,0.9,14.9%,17.5%,8.3%,6.1%,0.9,17.4%,18.6%
2008 Australian Open SF,W vs Federer,38,28,1.4,19.4%,14.3%,24,22,1.1,14.6%,13.4%,10.4%,4.3%,1.2,16.8%,14.3%
2008 Australian Open R128,W vs Becker,22,18,1.2,13.7%,11.2%,16,14,1.1,11.3%,9.9%,7.0%,4.2%,0.7,9.9%,14.9%
2007 Masters Cup RR,L vs Nadal,24,31,0.8,19.2%,24.8%,15,31,0.5,13.3%,27.4%,9.7%,3.5%,1.4,13.6%,9.6%
2007 Masters Cup RR,L vs Gasquet,14,19,0.7,12.8%,17.4%,13,17,0.8,12.7%,16.7%,6.9%,5.9%,1.9,22.9%,11.9%
2007 Madrid Masters SF,L vs Nalbandian,16,26,0.6,10.7%,17.4%,8,21,0.4,6.3%,16.4%,6.3%,0.0%,1.0,15.4%,15.4%
2007 Vienna F,W vs Wawrinka,19,16,1.2,18.8%,15.8%,18,16,1.1,18.8%,16.7%,10.4%,8.3%,0.5,11.9%,22.8%
2007 US Open F,L vs Federer,24,41,0.6,10.9%,18.6%,19,34,0.6,9.8%,17.6%,7.3%,2.6%,0.9,16.8%,19.5%
2007 US Open SF,W vs Ferrer,30,39,0.8,16.0%,20.7%,22,36,0.6,12.9%,21.2%,9.4%,3.5%,0.5,8.5%,18.6%
2007 Canada Masters F,W vs Federer,22,21,1.0,11.2%,10.7%,16,18,0.9,9.2%,10.4%,6.9%,2.3%,1.1,22.8%,20.8%
2007 Canada Masters SF,W vs Nadal,26,27,1.0,19.7%,20.5%,15,25,0.6,13.0%,21.7%,9.6%,3.5%,0.8,10.6%,13.6%
2007 Wimbledon SF,L vs Nadal,6,12,0.5,75.0%,150.0%,4,11,0.4,133.3%,366.7%,66.7%,66.7%,10.0,125.0%,12.5%
2007 Wimbledon R16,W vs Hewitt,53,65,0.8,18.1%,22.2%,35,60,0.6,13.4%,23.0%,6.1%,6.9%,1.0,15.0%,15.4%
2007 Roland Garros SF,L vs Nadal,26,41,0.6,14.4%,22.7%,23,40,0.6,13.3%,23.1%,9.2%,4.0%,1.9,18.2%,9.4%
2007 Rome Masters QF,L vs Nadal,18,26,0.7,15.9%,23.0%,17,25,0.7,15.9%,23.4%,13.1%,2.8%,2.7,26.5%,9.7%
2007 Estoril F,W vs Gasquet,18,35,0.5,13.1%,25.5%,15,31,0.5,12.2%,25.2%,4.9%,7.3%,0.9,21.2%,23.4%
2007 Miami Masters F,W vs Canas,40,32,1.3,24.2%,19.4%,33,31,1.1,22.6%,21.2%,12.3%,10.3%,0.8,12.1%,15.8%
2007 Miami Masters SF,W vs Murray,14,9,1.6,16.7%,10.7%,12,7,1.7,16.2%,9.5%,9.5%,6.8%,0.2,6.0%,34.5%
2007 Miami Masters QF,W vs Nadal,19,16,1.2,16.0%,13.4%,12,16,0.8,11.0%,14.7%,7.3%,3.7%,0.8,16.8%,20.2%
2007 Indian Wells Masters F,L vs Nadal,17,25,0.7,14.7%,21.6%,14,23,0.6,13.0%,21.3%,10.2%,2.8%,1.0,13.8%,13.8%
2007 Indian Wells Masters SF,W vs Murray,14,13,1.1,15.9%,14.8%,11,13,0.8,13.4%,15.9%,8.5%,4.9%,0.6,12.5%,21.6%
2007 Dubai QF,L vs Federer,13,34,0.4,6.6%,17.3%,7,30,0.2,4.0%,16.9%,2.3%,1.7%,1.0,18.4%,18.4%
2007 Australian Open R16,L vs Federer,17,27,0.6,9.4%,14.9%,10,25,0.4,6.3%,15.8%,2.5%,3.8%,2.0,28.2%,14.4%
2007 Australian Open R128,W vs Massu,40,17,2.4,31.3%,13.3%,35,16,2.2,29.9%,13.7%,10.3%,15.4%,0.4,8.6%,19.5%
2007 Adelaide F,W vs Guccione,40,19,2.1,18.3%,8.7%,36,13,2.8,18.9%,6.8%,11.6%,7.4%,1.7,21.6%,12.8%
2006 Madrid Masters R16,W vs Murray,20,40,0.5,11.5%,23.0%,17,37,0.5,10.6%,23.0%,8.1%,1.2%,0.6,13.2%,20.7%
2006 Metz F,W vs Melzer,27,17,1.6,15.3%,9.7%,17,16,1.1,10.8%,10.1%,6.3%,4.4%,0.7,14.8%,20.5%
2006 Davis Cup RR,L vs Federer,15,26,0.6,8.5%,14.8%,12,24,0.5,7.5%,15.0%,5.0%,2.5%,1.7,24.4%,14.2%
2006 Amersfoort F,W vs Massu,22,29,0.8,15.7%,20.7%,15,26,0.6,12.8%,22.2%,8.5%,4.3%,1.1,18.6%,17.1%
2006 Monte Carlo Masters R64,L vs Federer,21,36,0.6,12.7%,21.8%,20,32,0.6,12.6%,20.1%,5.0%,7.5%,0.8,14.5%,18.2%
2006 Miami Masters R64,L vs Coria,20,34,0.6,14.9%,25.4%,16,28,0.6,13.0%,22.8%,8.9%,4.1%,1.2,13.4%,11.2%
2005 US Open R128,W vs Monfils,44,73,0.6,13.5%,22.4%,41,68,0.6,14.1%,23.4%,7.6%,5.5%,1.6,16.9%,10.7%
2005 Australian Open R128,L vs Safin,4,31,0.1,3.4%,26.5%,3,26,0.1,2.8%,23.9%,0.9%,0.9%,1.2,19.7%,16.2%
