Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2013 Roland Garros R64,W vs Pella,29,26,1.1,19.2%,17.2%,28,24,1.2,19.6%,16.8%,,,0.3,6.6%,22.5%
2013 Roland Garros R128,W vs Goffin,26,31,0.8,12.2%,14.6%,21,31,0.7,10.6%,15.6%,,,0.8,15.0%,17.8%
2013 Monte Carlo Masters F,W vs Nadal,25,15,1.7,21.6%,12.9%,23,15,1.5,20.9%,13.6%,12.7%,8.2%,0.7,14.7%,20.7%
2013 Monte Carlo Masters SF,W vs Fognini,11,3,3.7,13.8%,3.8%,8,3,2.7,11.1%,4.2%,5.6%,5.6%,0.5,12.5%,23.8%
2013 Miami Masters R16,L vs Haas,9,34,0.3,8.1%,30.6%,7,33,0.2,6.5%,30.6%,3.7%,0.9%,0.8,14.4%,18.9%
2013 Miami Masters R32,W vs Devvarman,17,20,0.9,17.0%,20.0%,13,18,0.7,14.6%,20.2%,10.1%,4.5%,0.5,8.0%,16.0%
2013 Miami Masters R64,W vs Rosol,18,7,2.6,19.4%,7.5%,14,7,2.0,17.5%,8.8%,13.8%,3.8%,0.8,12.9%,16.1%
2013 Indian Wells Masters SF,L vs del Potro,34,41,0.8,16.9%,20.4%,29,39,0.7,15.5%,20.9%,10.2%,5.3%,0.6,11.4%,17.9%
2013 Indian Wells Masters R32,W vs Dimitrov,7,16,0.4,6.3%,14.4%,5,13,0.4,5.3%,13.7%,3.2%,2.1%,0.6,9.9%,16.2%
2013 Dubai F,W vs Berdych,21,31,0.7,15.6%,23.0%,15,29,0.5,12.6%,24.4%,7.6%,0.8%,0.5,14.8%,28.9%
2013 Dubai SF,W vs del Potro,31,31,1.0,20.3%,20.3%,21,30,0.7,15.6%,22.2%,10.4%,5.2%,0.8,15.7%,19.6%
2013 Dubai R16,W vs Bautista Agut,23,19,1.2,16.9%,14.0%,17,17,1.0,14.0%,14.0%,7.4%,6.6%,0.5,8.1%,17.6%
2013 Dubai R32,W vs Troicki,18,9,2.0,16.7%,8.3%,17,7,2.4,17.3%,7.1%,9.2%,8.2%,0.9,13.9%,15.7%
2013 Australian Open F,W vs Murray,47,61,0.8,17.7%,23.0%,39,58,0.7,16.1%,24.0%,,,0.6,10.9%,17.4%
2013 Australian Open SF,W vs Ferrer,30,16,1.9,23.8%,12.7%,24,16,1.5,20.7%,13.8%,,,0.3,8.7%,25.4%
2013 Australian Open QF,W vs Berdych,44,20,2.2,21.8%,9.9%,34,18,1.9,19.2%,10.2%,10.7%,8.5%,0.9,14.4%,15.3%
2013 Australian Open R16,W vs Wawrinka,55,60,0.9,13.5%,14.7%,48,55,0.9,12.7%,14.6%,6.3%,3.4%,1.0,18.1%,18.6%
2013 Australian Open R32,W vs Stepanek,37,19,1.9,19.3%,9.9%,30,18,1.7,16.9%,10.2%,,,0.7,13.5%,19.3%
2013 Australian Open R64,W vs Harrison,37,16,2.3,25.3%,11.0%,30,16,1.9,23.1%,12.3%,,,0.6,11.6%,19.2%
2013 Australian Open R128,W vs Mathieu,31,15,2.1,19.0%,9.2%,22,13,1.7,15.4%,9.1%,,,0.8,16.6%,19.6%
2012 Tour Finals F,W vs Federer,17,29,0.6,8.9%,15.2%,11,27,0.4,6.4%,15.6%,4.0%,2.3%,0.8,14.7%,18.8%
2012 Tour Finals SF,W vs del Potro,29,25,1.2,17.7%,15.2%,21,24,0.9,14.2%,16.2%,10.1%,4.1%,0.8,14.6%,19.5%
